VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2/1/2016 0:00,2/1/2016 0:28,1,18.4,-73.78982544,40.64690781,1,N,-73.94138336,40.68659973,1,49.5,0.5,0.5,12.7,0,0.3,63.5
1,2/1/2016 0:00,2/1/2016 0:02,1,0.2,-73.96115875,40.77182007,1,N,-73.95740509,40.77344131,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2/1/2016 0:00,2/1/2016 0:15,1,3.9,-73.98400116,40.72543335,1,N,-73.95181274,40.76603699,1,14.5,0.5,0.5,3.15,0,0.3,18.95
2,2/1/2016 0:00,2/1/2016 0:24,1,2.18,-73.99169922,40.75267029,1,N,-73.99421692,40.75349426,2,15.5,0.5,0.5,0,0,0.3,16.8
1,2/1/2016 0:00,2/1/2016 0:33,2,18.1,-73.78223419,40.64469147,2,N,-73.99029541,40.76693344,1,52,0,0.5,10.55,0,0.3,63.35
1,2/1/2016 0:00,2/1/2016 0:05,1,1.1,-73.97826385,40.78819656,1,N,-73.98213959,40.77218628,1,6,0.5,0.5,1.5,0,0.3,8.8
2,2/1/2016 0:00,2/1/2016 0:07,6,1.12,-73.9897995,40.76227188,1,N,-73.99111938,40.75022507,1,6.5,0.5,0.5,0.5,0,0.3,8.3
2,2/1/2016 0:00,2/1/2016 0:04,1,0.66,-73.99332428,40.73326111,1,N,-74.00133514,40.73119354,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2/1/2016 0:00,2/1/2016 0:05,5,1.1,-73.99250031,40.71400833,1,N,-74.00614929,40.70975876,2,6,0.5,0.5,0,0,0.3,7.3
1,2/1/2016 0:00,2/1/2016 0:03,1,0.9,-74.00752258,40.72665787,1,N,-74.00292206,40.73950195,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2/1/2016 0:00,2/1/2016 0:06,1,2.2,-74.00731659,40.70499039,1,N,-74.01126099,40.72372818,1,8.5,0.5,0.5,1.95,0,0.3,11.75
2,2/1/2016 0:00,2/1/2016 0:11,5,3.23,-73.95543671,40.77275085,1,N,-73.98722839,40.74296951,1,12,0.5,0.5,2.66,0,0.3,15.96
1,2/1/2016 0:00,2/1/2016 0:06,1,1.7,-73.97867584,40.75719452,1,N,-73.96034241,40.76964951,1,7,0.5,0.5,1.7,0,0.3,10
1,2/1/2016 0:00,2/1/2016 0:03,1,0.8,-73.92366028,40.75327682,1,N,-73.92423248,40.74371338,2,5,0.5,0.5,0,0,0.3,6.3
1,2/1/2016 0:00,2/1/2016 0:36,2,19,-73.97186279,40.79450989,1,N,-73.86697388,40.88246918,3,52,0.5,0.5,0,0,0.3,53.3
2,2/1/2016 0:00,2/1/2016 0:16,5,4.18,-73.99111176,40.71746445,1,N,-73.95697021,40.68853378,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,2/1/2016 0:00,2/1/2016 0:20,1,8.61,-73.87501526,40.77398682,1,N,-73.95557404,40.77669144,2,26.5,0.5,0.5,0,5.54,0.3,33.34
1,2/1/2016 0:00,2/1/2016 0:05,1,1,0,0,1,N,0,0,1,5.5,0.5,0.5,0,0,0.3,6.8
2,2/1/2016 0:00,2/1/2016 0:10,1,3.21,-73.98686218,40.73931122,1,N,-73.95668793,40.77110672,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2/1/2016 0:00,2/1/2016 0:04,2,0.94,-73.99165344,40.76478958,1,N,-73.98314667,40.77584076,1,5,0.5,0.5,0.94,0,0.3,7.24
1,2/1/2016 0:00,2/1/2016 0:05,1,1.8,-73.93618774,40.74960327,1,N,-73.90837097,40.76078415,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2/1/2016 0:00,2/1/2016 0:05,1,0.78,-73.96300507,40.77514648,1,N,-73.95835114,40.76886368,1,5.5,0.5,0.5,1.5,0,0.3,8.3
2,2/1/2016 0:00,2/1/2016 0:09,2,2.76,-73.9907608,40.76110077,1,N,-73.97518921,40.79230118,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,2/1/2016 0:00,2/1/2016 0:36,2,10.9,-73.78904724,40.64710617,1,N,-73.95624542,40.6567955,1,36,0.5,0.5,0,0,0.3,37.3
1,2/1/2016 0:00,2/1/2016 0:03,1,0.6,-73.97480011,40.75068283,1,N,-73.96799469,40.7532959,2,4,0.5,0.5,0,0,0.3,5.3
1,2/1/2016 0:00,2/1/2016 0:07,2,3.6,-73.78327942,40.64865112,1,N,-73.78243256,40.66646576,2,12,0.5,0.5,0,0,0.3,13.3
1,2/1/2016 0:00,2/1/2016 0:03,1,1.3,-73.95231628,40.78154755,1,N,-73.93952179,40.7985611,1,5.5,0.5,0.5,2,0,0.3,8.8
1,2/1/2016 0:00,2/1/2016 0:08,1,1.4,-73.98231506,40.76267242,1,N,-73.98595428,40.7507515,1,7.5,0.5,0.5,1.76,0,0.3,10.56
